number,date,distance,time,pace
142,17-Nov-17,5.52,45:17,8:12
143,23-Nov-17,4.75,40:38,8:33
144,29-Nov-17,3.13,24:51,7:56
145,30-Nov-17,5.54,47:11,8:31
146,2-Dec-17,12.04,1:40:17,8:19
147,5-Dec-17,6.11,51:05,8:22
148,7-Dec-17,4.65,38:45,8:20
149,9-Dec-17,7.51,1:00:11,8:01
150,14-Dec-17,3.42,27:15,7:58
151,16-Dec-17,11.51,1:34:58,8:15
152,17-Dec-17,16.19,2:18:48,8:34
153,19-Dec-17,5,43:27,8:41
154,20-Dec-17,4.36,37:44,8:39
155,21-Dec-17,4.67,37:06,7:57
156,11-Jan-18,5.72,50:00,8:44
157,16-Jan-18,5.04,40:40,8:04
158,18-Jan-18,3.05,24:55,8:10
159,19-Jan-18,5.41,42:42,7:53
160,22-Jan-18,5.76,46:20,8:03
161,24-Jan-18,5.19,43:18,8:21
162,27-Jan-18,13.4,1:46:15,7:56
163,29-Jan-18,3.09,25:13,8:10
164,4-Feb-18,6.03,46:51,7:46
165,5-Feb-18,4.28,37:13,8:42
166,7-Feb-18,4.7,40:34,8:37
167,10-Feb-18,12.19,1:45:34,8:39
168,12-Feb-18,5.5,47:03,8:33
169,14-Feb-18,6.08,48:34,7:59
